project,issuekey,issuetype,from_flow_id,to_flow_id,cycle,rolling_cycle
BBSDEV,BBSDEV-16545,Task,4012101,5000006,,230.0
BBSDEV,BBSDEV-16575,Task,,1010006,58.0,58.0
BBSDEV,BBSDEV-16575,Task,1010006,2000006,,58.0
BBSDEV,BBSDEV-16596,Task,,1000001,49.0,49.0
BBSDEV,BBSDEV-16596,Task,1000001,2010014,0.0,49.0
BBSDEV,BBSDEV-16596,Task,2010014,3010003,4.0,53.0
BBSDEV,BBSDEV-16596,Task,3010003,4000006,,53.0
BBSDEV,BBSDEV-16598,Task,,1000001,228.0,228.0
BBSDEV,BBSDEV-16598,Task,1000001,2010014,3.0,231.0
BBSDEV,BBSDEV-16598,Task,2010014,3010003,2.0,233.0
BBSDEV,BBSDEV-16598,Task,3010003,4000006,,233.0
BBSDEV,BBSDEV-16600,Task,,1000001,44.0,44.0
BBSDEV,BBSDEV-16600,Task,1000001,2000006,,44.0
BBSDEV,BBSDEV-16601,Task,,1000001,31.0,31.0
BBSDEV,BBSDEV-16601,Task,1000001,2010014,4.0,35.0
BBSDEV,BBSDEV-16601,Task,2010014,3010003,3.0,38.0
BBSDEV,BBSDEV-16601,Task,3010003,4012101,2.0,40.0
BBSDEV,BBSDEV-16601,Task,4012101,5000006,,40.0
BBSDEV,BBSDEV-16602,Task,,1000001,89.0,89.0
BBSDEV,BBSDEV-16602,Task,1000001,2000006,,89.0
BBSDEV,BBSDEV-16607,Task,,1000001,11.0,11.0
BBSDEV,BBSDEV-16607,Task,1000001,2010014,16.0,27.0
BBSDEV,BBSDEV-16607,Task,2010014,3010003,0.0,27.0
BBSDEV,BBSDEV-16607,Task,3010003,4010006,0.0,27.0
BBSDEV,BBSDEV-16607,Task,4010006,5000001,0.0,27.0
BBSDEV,BBSDEV-16607,Task,5000001,6010014,0.0,27.0
BBSDEV,BBSDEV-16607,Task,6010014,7000006,,27.0
BBSDEV,BBSDEV-16609,Bug,,1015900,1.0,1.0
BBSDEV,BBSDEV-16609,Bug,1015900,2000001,21.0,22.0
BBSDEV,BBSDEV-16609,Bug,2000001,3010014,39.0,61.0
BBSDEV,BBSDEV-16609,Bug,3010014,4010003,0.0,61.0
BBSDEV,BBSDEV-16609,Bug,4010003,5000006,,61.0
BBSDEV,BBSDEV-16610,Bug,,1015900,1.0,1.0
BBSDEV,BBSDEV-16610,Bug,1015900,2000001,65.0,66.0
BBSDEV,BBSDEV-16610,Bug,2000001,3010014,3.0,69.0
BBSDEV,BBSDEV-16610,Bug,3010014,4010003,6.0,75.0
BBSDEV,BBSDEV-16610,Bug,4010003,5000006,,75.0
BBSDEV,BBSDEV-16612,Task,,1010006,1.0,1.0
BBSDEV,BBSDEV-16612,Task,1010006,2000001,0.0,1.0
BBSDEV,BBSDEV-16612,Task,2000001,3010014,0.0,1.0
BBSDEV,BBSDEV-16612,Task,3010014,4010003,0.0,1.0
BBSDEV,BBSDEV-16612,Task,4010003,5000006,,1.0
BBSDEV,BBSDEV-16615,Task,,1000001,22.0,22.0
BBSDEV,BBSDEV-16615,Task,1000001,2000006,,22.0
BBSDEV,BBSDEV-16617,Task,,1000001,38.0,38.0
BBSDEV,BBSDEV-16617,Task,1000001,2010014,0.0,38.0
BBSDEV,BBSDEV-16617,Task,2010014,3010003,4.0,42.0
BBSDEV,BBSDEV-16617,Task,3010003,4012101,9.0,51.0
BBSDEV,BBSDEV-16617,Task,4012101,5000006,,51.0
BBSDEV,BBSDEV-16618,Task,,1000001,0.0,0.0
BBSDEV,BBSDEV-16618,Task,1000001,2010014,0.0,0.0
