project,issuekey,issuetype,rnk,status,leading_status,lagging_status,category,leading_category,lagging_category,created,started,finished,cycle,rolling_cycle
BBSDEV,BBSDEV-16282,Task,1,Open,,Closed,ToDo,,Done,2017-10-27 03:13:00,2017-10-27 03:13:00,2017-12-11 04:19:14.534,45.0,45.0
BBSDEV,BBSDEV-16282,Task,2,Closed,Open,,Done,ToDo,,2017-10-27 03:13:00,2017-12-11 04:19:14.534,,,45.0
BBSDEV,BBSDEV-16305,Improvement,1,Open,,Closed,ToDo,,Done,2017-10-27 22:18:00,2017-10-27 22:18:00,2018-01-16 05:39:16.946,80.0,80.0
BBSDEV,BBSDEV-16305,Improvement,2,Closed,Open,,Done,ToDo,,2017-10-27 22:18:00,2018-01-16 05:39:16.946,,,80.0
BBSDEV,BBSDEV-16312,Task,1,Triage,,Open,ToDo,,ToDo,2017-10-30 04:23:00,2017-10-30 04:23:00,2017-12-08 04:56:54.168,39.0,39.0
BBSDEV,BBSDEV-16312,Task,2,Open,Triage,In progress,ToDo,ToDo,Doing,2017-10-30 04:23:00,2017-12-08 04:56:54.168,2017-12-18 02:14:19.704,9.0,48.0
BBSDEV,BBSDEV-16312,Task,3,In progress,Open,Code review,Doing,ToDo,Doing,2017-10-30 04:23:00,2017-12-18 02:14:19.704,2017-12-29 05:23:39.497,11.0,59.0
BBSDEV,BBSDEV-16312,Task,4,Code review,In progress,Closed,Doing,Doing,Done,2017-10-30 04:23:00,2017-12-29 05:23:39.497,2018-01-15 03:38:57.501,16.0,75.0
BBSDEV,BBSDEV-16312,Task,5,Closed,Code review,,Done,Doing,,2017-10-30 04:23:00,2018-01-15 03:38:57.501,,,75.0
BBSDEV,BBSDEV-16313,Task,1,Open,,In progress,ToDo,,Doing,2017-10-30 04:27:00,2017-10-30 04:27:00,2018-02-22 23:03:46.702,115.0,115.0
BBSDEV,BBSDEV-16313,Task,2,In progress,Open,Code review,Doing,ToDo,Doing,2017-10-30 04:27:00,2018-02-22 23:03:46.702,2018-03-01 07:36:21.626,6.0,121.0
BBSDEV,BBSDEV-16313,Task,3,Code review,In progress,Closed,Doing,Doing,Done,2017-10-30 04:27:00,2018-03-01 07:36:21.626,2018-03-08 00:02:39.059,6.0,127.0
BBSDEV,BBSDEV-16313,Task,4,Closed,Code review,,Done,Doing,,2017-10-30 04:27:00,2018-03-08 00:02:39.059,,,127.0
BBSDEV,BBSDEV-16314,Task,1,Triage,,Open,ToDo,,ToDo,2017-10-30 04:32:00,2017-10-30 04:32:00,2017-12-08 04:56:17.508,39.0,39.0
BBSDEV,BBSDEV-16314,Task,2,Open,Triage,In progress,ToDo,ToDo,Doing,2017-10-30 04:32:00,2017-12-08 04:56:17.508,2017-12-08 04:56:21.303,0.0,39.0
BBSDEV,BBSDEV-16314,Task,3,In progress,Open,Code review,Doing,ToDo,Doing,2017-10-30 04:32:00,2017-12-08 04:56:21.303,2017-12-29 05:23:33.288,21.0,60.0
BBSDEV,BBSDEV-16314,Task,4,Code review,In progress,Closed,Doing,Doing,Done,2017-10-30 04:32:00,2017-12-29 05:23:33.288,2018-01-22 04:10:46.822,23.0,83.0
BBSDEV,BBSDEV-16314,Task,5,Closed,Code review,,Done,Doing,,2017-10-30 04:32:00,2018-01-22 04:10:46.822,,,83.0
BBSDEV,BBSDEV-16317,Task,1,Open,,Closed,ToDo,,Done,2017-10-30 06:07:00,2017-10-30 06:07:00,2018-04-12 01:06:44.336,163.0,163.0
BBSDEV,BBSDEV-16317,Task,2,Closed,Open,,Done,ToDo,,2017-10-30 06:07:00,2018-04-12 01:06:44.336,,,163.0
BBSDEV,BBSDEV-16351,Sub-task,1,Open,,Closed,ToDo,,Done,2017-11-02 05:22:00,2017-11-02 05:22:00,2018-01-22 00:44:13.873,80.0,80.0
BBSDEV,BBSDEV-16351,Sub-task,2,Closed,Open,,Done,ToDo,,2017-11-02 05:22:00,2018-01-22 00:44:13.873,,,80.0
BBSDEV,BBSDEV-16352,Sub-task,1,Triage,,Open,ToDo,,ToDo,2017-11-02 05:23:00,2017-11-02 05:23:00,2018-01-15 23:31:24.464,74.0,74.0
BBSDEV,BBSDEV-16352,Sub-task,2,Open,Triage,In progress,ToDo,ToDo,Doing,2017-11-02 05:23:00,2018-01-15 23:31:24.464,2018-01-15 23:31:26.572,0.0,74.0
BBSDEV,BBSDEV-16352,Sub-task,3,In progress,Open,Closed,Doing,ToDo,Done,2017-11-02 05:23:00,2018-01-15 23:31:26.572,2018-02-02 00:54:08.524,17.0,91.0
BBSDEV,BBSDEV-16352,Sub-task,4,Closed,In progress,,Done,Doing,,2017-11-02 05:23:00,2018-02-02 00:54:08.524,,,91.0
BBSDEV,BBSDEV-16353,Sub-task,1,Open,,Closed,ToDo,,Done,2017-11-02 05:23:00,2017-11-02 05:23:00,2018-01-17 06:33:53.060,76.0,76.0
BBSDEV,BBSDEV-16353,Sub-task,2,Closed,Open,,Done,ToDo,,2017-11-02 05:23:00,2018-01-17 06:33:53.060,,,76.0
BBSDEV,BBSDEV-16354,Sub-task,1,Open,,In progress,ToDo,,Doing,2017-11-02 05:26:00,2017-11-02 05:26:00,2018-02-06 00:07:10.226,95.0,95.0
BBSDEV,BBSDEV-16354,Sub-task,2,In progress,Open,Code review,Doing,ToDo,Doing,2017-11-02 05:26:00,2018-02-06 00:07:10.226,2018-02-06 00:07:13.432,0.0,95.0
BBSDEV,BBSDEV-16354,Sub-task,3,Code review,In progress,Closed,Doing,Doing,Done,2017-11-02 05:26:00,2018-02-06 00:07:13.432,2018-02-07 05:37:12.105,1.0,96.0
BBSDEV,BBSDEV-16354,Sub-task,4,Closed,Code review,,Done,Doing,,2017-11-02 05:26:00,2018-02-07 05:37:12.105,,,96.0
BBSDEV,BBSDEV-16355,Sub-task,1,Open,,Closed,ToDo,,Done,2017-11-02 05:26:00,2017-11-02 05:26:00,2018-01-17 06:35:57.679,76.0,76.0
BBSDEV,BBSDEV-16355,Sub-task,2,Closed,Open,,Done,ToDo,,2017-11-02 05:26:00,2018-01-17 06:35:57.679,,,76.0
BBSDEV,BBSDEV-16384,Task,1,Open,,Closed,ToDo,,Done,2017-11-12 22:50:00,2017-11-12 22:50:00,2017-12-08 03:53:14.867,25.0,25.0
BBSDEV,BBSDEV-16384,Task,2,Closed,Open,,Done,ToDo,,2017-11-12 22:50:00,2017-12-08 03:53:14.867,,,25.0
BBSDEV,BBSDEV-16385,Task,1,Open,,Closed,ToDo,,Done,2017-11-12 23:39:00,2017-11-12 23:39:00,2017-12-08 03:53:22.525,25.0,25.0
